"sponsor01";"sponsor02";"idboletin";"date"
"062";"075";4122;2006-03-22
"062";"075";4121;2006-03-22
"072";"075";4117;2006-03-22
"025";"038";4114;2006-03-21
"043";"044";4112;2006-03-15
"041";"051";4111;2006-03-15
"043";"044";4110;2006-03-15
"041";"044";4109;2006-03-15
"041";"062";4142;2006-04-06
"069";"092";4138;2006-04-06
"095";"119";4125;2006-03-23
"039";"062";4139;2006-04-06
"051";"065";4133;2006-04-05
"064";"092";4132;2006-04-05
"043";"052";4130;2006-04-04
"016";"058";4124;2006-03-23
"076";"106";4123;2006-03-22
"062";"076";4122;2006-03-22
"062";"076";4121;2006-03-22
"072";"108";4117;2006-03-22
"025";"081";4114;2006-03-21
"043";"058";4112;2006-03-15
"041";"075";4111;2006-03-15
"043";"050";4110;2006-03-15
"041";"050";4109;2006-03-15
"041";"075";4142;2006-04-06
"039";"072";4139;2006-04-06
"051";"109";4133;2006-04-05
"064";"097";4132;2006-04-05
"043";"054";4130;2006-04-04
"016";"065";4124;2006-03-23
"076";"120";4123;2006-03-22
"062";"096";4122;2006-03-22
"062";"096";4121;2006-03-22
"025";"084";4114;2006-03-21
"043";"066";4112;2006-03-15
"041";"076";4111;2006-03-15
"043";"066";4110;2006-03-15
"041";"058";4109;2006-03-15
"041";"085";4142;2006-04-06
"039";"076";4139;2006-04-06
"051";"118";4133;2006-04-05
"064";"099";4132;2006-04-05
"043";"076";4130;2006-04-04
"016";"075";4124;2006-03-23
"062";"106";4122;2006-03-22
"062";"106";4121;2006-03-22
"025";"102";4114;2006-03-21
"043";"088";4112;2006-03-15
"041";"106";4111;2006-03-15
"043";"085";4110;2006-03-15
"041";"066";4109;2006-03-15
"041";"096";4142;2006-04-06
"039";"096";4139;2006-04-06
"051";"119";4133;2006-04-05
"064";"110";4132;2006-04-05
"043";"108";4130;2006-04-04
"016";"106";4124;2006-03-23
"062";"120";4122;2006-03-22
"062";"120";4121;2006-03-22
"043";"096";4112;2006-03-15
"041";"118";4111;2006-03-15
"043";"096";4110;2006-03-15
"041";"108";4109;2006-03-15
"041";"106";4142;2006-04-06
"039";"120";4139;2006-04-06
"051";"120";4133;2006-04-05
"064";"116";4132;2006-04-05
"043";"113";4130;2006-04-04
"016";"120";4124;2006-03-23
"043";"108";4112;2006-03-15
"041";"120";4111;2006-03-15
"043";"108";4110;2006-03-15
"041";"119";4109;2006-03-15
"041";"120";4142;2006-04-06
"041";"062";4139;2006-04-06
"064";"065";4133;2006-04-05
"084";"092";4132;2006-04-05
"044";"052";4130;2006-04-04
"041";"058";4124;2006-03-23
"096";"106";4123;2006-03-22
"075";"076";4122;2006-03-22
"075";"076";4121;2006-03-22
"075";"108";4117;2006-03-22
"038";"081";4114;2006-03-21
"044";"058";4112;2006-03-15
"051";"075";4111;2006-03-15
"044";"050";4110;2006-03-15
"044";"050";4109;2006-03-15
"062";"075";4142;2006-04-06
"041";"072";4139;2006-04-06
"064";"109";4133;2006-04-05
"084";"097";4132;2006-04-05
"044";"054";4130;2006-04-04
"041";"065";4124;2006-03-23
"096";"120";4123;2006-03-22
"075";"096";4122;2006-03-22
"075";"096";4121;2006-03-22
"038";"084";4114;2006-03-21
"044";"066";4112;2006-03-15
"051";"076";4111;2006-03-15
"044";"066";4110;2006-03-15
"044";"058";4109;2006-03-15
"062";"085";4142;2006-04-06
"041";"076";4139;2006-04-06
"064";"118";4133;2006-04-05
"084";"099";4132;2006-04-05
"044";"076";4130;2006-04-04
"041";"075";4124;2006-03-23
"075";"106";4122;2006-03-22
"075";"106";4121;2006-03-22
"038";"102";4114;2006-03-21
"044";"088";4112;2006-03-15
"051";"106";4111;2006-03-15
"044";"085";4110;2006-03-15
"044";"066";4109;2006-03-15
"062";"096";4142;2006-04-06
"041";"096";4139;2006-04-06
"064";"119";4133;2006-04-05
"084";"110";4132;2006-04-05
"044";"108";4130;2006-04-04
"041";"106";4124;2006-03-23
"075";"120";4122;2006-03-22
"075";"120";4121;2006-03-22
"044";"096";4112;2006-03-15
"051";"118";4111;2006-03-15
"044";"096";4110;2006-03-15
"044";"108";4109;2006-03-15
"062";"106";4142;2006-04-06
"041";"120";4139;2006-04-06
"064";"120";4133;2006-04-05
"084";"116";4132;2006-04-05
"044";"113";4130;2006-04-04
"041";"120";4124;2006-03-23
"044";"108";4112;2006-03-15
"051";"120";4111;2006-03-15
"044";"108";4110;2006-03-15
"044";"119";4109;2006-03-15
"062";"120";4142;2006-04-06
"062";"072";4139;2006-04-06
"065";"109";4133;2006-04-05
"092";"097";4132;2006-04-05
"052";"054";4130;2006-04-04
"058";"065";4124;2006-03-23
"106";"120";4123;2006-03-22
"076";"096";4122;2006-03-22
"076";"096";4121;2006-03-22
"081";"084";4114;2006-03-21
"058";"066";4112;2006-03-15
"075";"076";4111;2006-03-15
"050";"066";4110;2006-03-15
"050";"058";4109;2006-03-15
"075";"085";4142;2006-04-06
"062";"076";4139;2006-04-06
"065";"118";4133;2006-04-05
"092";"099";4132;2006-04-05
"052";"076";4130;2006-04-04
"058";"075";4124;2006-03-23
"076";"106";4122;2006-03-22
"076";"106";4121;2006-03-22
"081";"102";4114;2006-03-21
"058";"088";4112;2006-03-15
"075";"106";4111;2006-03-15
"050";"085";4110;2006-03-15
"050";"066";4109;2006-03-15
"075";"096";4142;2006-04-06
"062";"096";4139;2006-04-06
"065";"119";4133;2006-04-05
"092";"110";4132;2006-04-05
"052";"108";4130;2006-04-04
"058";"106";4124;2006-03-23
"076";"120";4122;2006-03-22
"076";"120";4121;2006-03-22
"058";"096";4112;2006-03-15
"075";"118";4111;2006-03-15
"050";"096";4110;2006-03-15
"050";"108";4109;2006-03-15
"075";"106";4142;2006-04-06
"062";"120";4139;2006-04-06
"065";"120";4133;2006-04-05
"092";"116";4132;2006-04-05
"052";"113";4130;2006-04-04
"058";"120";4124;2006-03-23
"058";"108";4112;2006-03-15
"075";"120";4111;2006-03-15
"050";"108";4110;2006-03-15
"050";"119";4109;2006-03-15
"075";"120";4142;2006-04-06
"072";"076";4139;2006-04-06
"109";"118";4133;2006-04-05
"097";"099";4132;2006-04-05
"054";"076";4130;2006-04-04
"065";"075";4124;2006-03-23
"096";"106";4122;2006-03-22
"096";"106";4121;2006-03-22
"084";"102";4114;2006-03-21
"066";"088";4112;2006-03-15
"076";"106";4111;2006-03-15
"066";"085";4110;2006-03-15
"058";"066";4109;2006-03-15
"085";"096";4142;2006-04-06
"072";"096";4139;2006-04-06
"109";"119";4133;2006-04-05
"097";"110";4132;2006-04-05
"054";"108";4130;2006-04-04
"065";"106";4124;2006-03-23
"096";"120";4122;2006-03-22
"096";"120";4121;2006-03-22
"066";"096";4112;2006-03-15
"076";"118";4111;2006-03-15
"066";"096";4110;2006-03-15
"058";"108";4109;2006-03-15
"085";"106";4142;2006-04-06
"072";"120";4139;2006-04-06
"109";"120";4133;2006-04-05
"097";"116";4132;2006-04-05
"054";"113";4130;2006-04-04
"065";"120";4124;2006-03-23
"066";"108";4112;2006-03-15
"076";"120";4111;2006-03-15
"066";"108";4110;2006-03-15
"058";"119";4109;2006-03-15
"085";"120";4142;2006-04-06
"076";"096";4139;2006-04-06
"118";"119";4133;2006-04-05
"099";"110";4132;2006-04-05
"076";"108";4130;2006-04-04
"075";"106";4124;2006-03-23
"106";"120";4122;2006-03-22
"106";"120";4121;2006-03-22
"088";"096";4112;2006-03-15
"106";"118";4111;2006-03-15
"085";"096";4110;2006-03-15
"066";"108";4109;2006-03-15
"096";"106";4142;2006-04-06
"076";"120";4139;2006-04-06
"118";"120";4133;2006-04-05
"099";"116";4132;2006-04-05
"076";"113";4130;2006-04-04
"075";"120";4124;2006-03-23
"088";"108";4112;2006-03-15
"106";"120";4111;2006-03-15
"085";"108";4110;2006-03-15
"066";"119";4109;2006-03-15
"096";"120";4142;2006-04-06
"096";"120";4139;2006-04-06
"119";"120";4133;2006-04-05
"110";"116";4132;2006-04-05
"108";"113";4130;2006-04-04
"106";"120";4124;2006-03-23
"096";"108";4112;2006-03-15
"118";"120";4111;2006-03-15
"096";"108";4110;2006-03-15
"108";"119";4109;2006-03-15
"106";"120";4142;2006-04-06
